LCSC Part Number,Manufacture Part Number,Comment,ESP32-S3_Motherboard (x3),FaderBoard (x10),Headphone_Dac (x2),KeyswitchBoard (x5),KeyswitchKeybed (x5),MIDICON3 (x5),Multiplex16_Satellite (x5),Multiplex16 (x10),PB86-A1_3-Pack (x5),PB86-A1_4-Pack (x5),PB86-A1_8-Pack (x5),PotentiometerBoard (x5),Potentiometer_3-Pack (x5),SwitchBoard (x5),TOTAL (boards x count),ORDER (with spare)
C157925,,CLOCK_SYNC / SAT_SIG / BACKUP_MUX_SEL / GROUP1 / JST-XH CONT / S4B-XH-A,3,0,0,1,0,0,1,2,0,0,0,0,0,0,39,39
C157931,,BACKUP_MUX_EN / SAT_PWR / USB_PWR / JST-XH MUX EN1 / JST-XH MUX EN2 / JST-XH MUX EN3 / JST-XH MUX EN4 / JST-XH MUX EN5 / JST-XH MUX EN6 / JST-XH MUX EN7 / JST-XH MUX EN8 / JST-XH MUX EN9 / JST-XH MUX EN10 / JST-XH MUX EN11 / JST-XH MUX EN12 / JST-XH MUX EN13 / JST-XH MUX EN14 / JST-XH MUX EN15 / JST-XH MUX EN16 / JST-XH PWR / S2B-XH-A-,3,0,0,0,0,0,17,1,0,0,0,0,0,0,104,104
C5159940,,ESP32-S3 CONN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
C157928,,MUX_SIG / S3B-XH-A / TOGGLE,1,0,0,0,0,0,0,18,0,0,0,0,0,4,203,203
,MFR0W4F4701A50,4.7k,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
C23630,,2.2uF CAP / CL10A225KO8NNNC,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,10
C45783,,CL21A226MAQNNNE,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,10
C14663,,CC0603KRX7R9BB104,0,0,5,0,0,0,2,0,0,0,0,0,0,0,20,23
C15850,,CL21A106KAYNNNE,0,0,4,0,0,0,0,1,0,0,0,0,0,0,18,21
C46550600,,600R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3
C84262,,FC-2012YOXK,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,12
C17414,,0805W8F1002T5E,0,0,2,0,0,0,0,2,0,0,0,0,0,0,24,28
C21190,,0603WAF1001T5E,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,10
C23140,,0603WAF330JT5E,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,7
C22859,,0603WAF100JT5E,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5
C107671,,PCM5102APWR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
C69527,,VNEG GENERATOR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
C70439,,PHONESAMP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
C400226,,KEYSWITCH,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,15
C49678,,CC0805KRX7R9BB104,0,0,0,0,0,3,0,1,0,0,1,0,0,0,30,35
C81598,,1N4148W_C81598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5
C17557,,0805W8F2200T5E / 220,0,0,0,0,0,5,0,0,3,4,8,0,0,0,100,115
C17513,,0805W8F1001T5E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6
C78589,,OPTOCOUPLER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5
C163712,,MIDI-OUT BUFFER / MIDI-THRU BUFFER,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,10
C10092,,SN74HC595DR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,10
C496123,,CD74HC4067M96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10
C17630,,0805W8F3300T5E,0,0,0,0,0,0,0,16,0,0,0,0,0,0,160,184
C609791,,XL9555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5

BOARD COUNT,,,3,10,2,5,5,5,5,10,5,5,5,5,5,5
